Game,Date,Home player 1,Home player 2,Home player 3,Home player 4,Home player 5,Away player 1,Away player 2,Away player 3,Away player 4,Away player 5,Quarter,Minutes,Home score,Away score,Play id,Team,Offensive system,Defensive system,Player,Event,Description
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,39:31,0,0,0,auba-s2-和伟,,,武铮,Sub out,武铮 subs out
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,39:31,0,0,1,auba-s2-和伟,,,葛江波,Sub in,葛江波 subs in
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,39:13,0,0,2,auba-s2-和伟,,,李和伟,Two pointer missed,李和伟 misses a two pointer
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,39:05,0,0,3,auba-s2-mail,,,刘茗轩,Defensive rebound,刘茗轩 gets a defensive rebound
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,38:55,0,0,4,auba-s2-mail,,,洪杨潇,Two pointer missed,洪杨潇 misses a two pointer
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,38:46,0,0,5,auba-s2-和伟,,,李和伟,Defensive rebound,李和伟 gets a defensive rebound
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,38:31,0,0,6,auba-s2-和伟,,,李和伟,Turnover,李和伟 loses the ball
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,38:28,0,0,7,auba-s2-mail,,,梁锐,Steal,梁锐 steals the ball
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,38:16,3,0,8,auba-s2-mail,,,张帆,Three pointer made,张帆 scores a three pointer
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,38:11,3,0,9,auba-s2-mail,,,刘茗轩,Assist,刘茗轩 assists
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,37:54,3,0,10,auba-s2-和伟,,,刘亚鹏,Turnover,刘亚鹏 loses the ball
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,37:39,5,0,11,auba-s2-mail,,,洪杨潇,Two pointer made,洪杨潇 scores a two pointer
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,37:35,5,0,12,auba-s2-mail,,,杨垒,Assist,杨垒 assists
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,37:14,5,0,13,auba-s2-和伟,,,张鹏,Turnover,张鹏 loses the ball
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,37:12,5,0,14,auba-s2-mail,,,张帆,Steal,张帆 steals the ball
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,37:10,7,0,15,auba-s2-mail,,,张帆,Two pointer made,张帆 scores a two pointer
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,36:41,7,0,16,auba-s2-和伟,,,刘亚鹏,Two pointer missed,刘亚鹏 misses a two pointer
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,36:37,7,0,17,auba-s2-mail,,,刘茗轩,Defensive rebound,刘茗轩 gets a defensive rebound
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,36:29,7,0,18,auba-s2-mail,,,刘茗轩,Turnover,刘茗轩 loses the ball
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,36:24,7,0,19,auba-s2-和伟,,,徐池,Steal,徐池 steals the ball
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,36:16,7,0,20,auba-s2-和伟,,,徐池,Two pointer missed,徐池 misses a two pointer
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,36:13,7,0,21,auba-s2-mail,,,杨垒,Defensive rebound,杨垒 gets a defensive rebound
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,35:55,7,0,22,auba-s2-mail,,,梁锐,Three pointer missed,梁锐 misses a three pointer
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,葛江波,李和伟,张鹏,徐池,刘亚鹏,1,35:50,7,0,23,auba-s2-和伟,,,Team,Defensive rebound,Team gets a defensive rebound
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,35:32,7,0,24,auba-s2-和伟,,,葛江波,Sub out,葛江波 subs out
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,35:32,7,0,25,auba-s2-和伟,,,武铮,Sub in,武铮 subs in
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,35:16,7,0,26,auba-s2-mail,,,张帆,Defensive foul,张帆 commits a defensive foul
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,35:16,7,0,27,auba-s2-和伟,,,李和伟,Personal foul drawn,李和伟 draws a personal foul
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,35:06,7,3,28,auba-s2-和伟,,,徐池,Three pointer made,徐池 scores a three pointer
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,34:54,7,3,29,auba-s2-和伟,,,李和伟,Assist,李和伟 assists
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,34:50,7,3,30,auba-s2-mail,,,洪杨潇,Three pointer missed,洪杨潇 misses a three pointer
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,34:41,7,3,31,auba-s2-mail,,,洪杨潇,Two pointer missed,洪杨潇 misses a two pointer
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,34:32,7,3,32,auba-s2-和伟,,,张鹏,Defensive rebound,张鹏 gets a defensive rebound
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,34:23,7,3,33,auba-s2-mail,,,梁锐,Defensive foul,梁锐 commits a defensive foul
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,34:23,7,3,34,auba-s2-和伟,,,徐池,Personal foul drawn,徐池 draws a personal foul
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,34:19,7,4,35,auba-s2-和伟,,,徐池,Free throw made,徐池 scores a free throw
auba-s2-mail vs auba-s2-和伟,26/11/2025,杨垒,张帆,梁锐,刘茗轩,洪杨潇,武铮,李和伟,张鹏,徐池,刘亚鹏,1,34:07,7,4,36,auba-s2-和伟,,,徐池,Free throw missed,徐池 misses a free throw
